DEPARTAMENTO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
amazonas,625.26,783.0,897.0,692,541,836,278,338,122,98,110,173,111.17,166.77,165.62,108.21490890000001
antioquia,4264.71,5165.0,6414.0,6156,9926,6096,4553,5350,3105,2725,991,2293,2402.57,8855.28,13680.83,13647.135888799972
arauca,538.04,1552.0,1883.0,1306,2116,447,417,247,133,82,69,26,17.13,8.91,121.22,7.4910701
bolivar,4471.06,3401.09,3670.0,2382,5632,5847,4777,3324,2207,1968,925,1565,1043.02,4094.28,6179.01,8829.786326200003
boyaca,593.96,359.08,342.0,441,79,197,183,105,94,10,17,14,7.71,14.99,21.99,11.0901932
caldas,53.71,358.08,189.46,461,56,187,167,45,46,16,8,0,0.0,0.0,0.0,0.0
caqueta,7229.98,6498.0,4988.0,4967,6318,4303,3759,2578,3327,3694,4322,6542,7712.47,9343.11,11793.25,12005.197192199981
cauca,1443.02,1265.31,2705.0,2105,4168,5422,6144,5908,6066,4327,3326,6389,8660.1,12595.44,15960.31,16708.55229150003
cesar,0.0,0.0,0.0,0,0,5,0,0,0,12,13,10,33.27,26.4,24.35,25.876112000000003
choco,453.58,323.33,1024.89,816,1080,2794,1666,3158,2511,3429,1661,1741,1488.8,1802.84,2610.59,2054.225960099998
cordoba,837.7,1535.0,3136.0,1216,1858,1710,2781,3889,1088,1046,439,560,1363.0,2668.29,4780.44,4317.694670100004
cundinamarca,56.94,72.0,56.0,120,131,12,0,32,18,0,0,0,0.0,0.0,0.0,0.0
guainia,726.0,721.28,752.0,753,623,625,538,446,318,301,81,66,36.73,21.61,30.54,79.0404263
guaviare,16163.0,9770.0,8658.0,9477,9299,6629,8324,5701,6839,3850,4725,5658,5423.12,6837.99,4922.67,4313.083474299996
guajira,275.52,556.0,329.0,166,87,160,163,134,16,10,6,0,0.0,0.0,1.69,1.6223203
magdalena,484.13,706.0,213.0,271,278,391,152,121,46,37,37,9,6.81,34.93,7.88,12.442342400000001
meta,12814.39,18740.0,17305.0,11063,10386,5525,4295,3008,3039,2699,2898,5042,5002.02,5463.87,5577.21,2973.7094232000018
narino,17627.61,14155.2,13875.0,15607,20259,19612,16427,15951,17231,10733,13177,17285,29755.49,42627.38,45734.62,41894.6596896001
norte de santander,4471.1,3056.0,844.0,488,1946,2886,2713,1889,3490,4515,6345,6944,11527.11,24830.61,28244.27,30089.32203300001
putumayo,7559.0,4386.44,8963.0,12253,14813,9658,5317,4785,9952,6148,7667,13609,20067.63,25162.41,29588.97,25952.266257299987
santander,631.72,1124.56,981.0,866,1325,1791,953,673,595,110,77,25,20.66,37.24,29.99,27.741408899999996
valle del cauca,37.0,44.97,28.0,281,453,2089,929,665,981,482,398,561,689.98,751.93,1261.31,2241.0608609999995
vaupes,1156.84,1083.69,671.0,460,307,557,351,721,277,254,184,109,32.64,96.66,105.46,89.59457170000002
vichada,3818.0,4692.0,7826.0,5523,7218,3174,3140,2743,2264,1242,713,511,683.14,699.19,652.72,569.1221300000004
