Departamento,Año Produccion,Cantidad Producción
amazonas,2015,0.000396
amazonas,2016,0.000513
antioquia,2012,37.537967999999985
antioquia,2013,34.70441200000003
antioquia,2014,36.478869000000024
antioquia,2015,31.365270999999993
antioquia,2016,33.66833000000001
antioquia,2017,26.516598000000027
antioquia,2018,29.52183800000003
antioquia,2019,13.987323999999997
atlantico,2012,0.009195
"bogota, d.c.",2012,0.8169020000000001
"bogota, d.c.",2013,2.0084089999999986
"bogota, d.c.",2014,1.9683234
"bogota, d.c.",2015,2.770356800000001
"bogota, d.c.",2016,1.5968612000000002
bolivar,2012,4.9061749999999975
bolivar,2013,2.49184
bolivar,2014,3.2487030000000003
bolivar,2015,3.9842270000000015
bolivar,2016,4.507881
bolivar,2017,4.896648
bolivar,2018,7.497608000000004
bolivar,2019,2.151737
boyaca,2012,0.038248000000000004
boyaca,2013,0.008284600000000001
boyaca,2014,0.0
boyaca,2015,0.013418800000000002
boyaca,2016,1.3250321999999999
boyaca,2017,4.679817799999998
boyaca,2018,0.7058178000000004
boyaca,2019,0.084641
caldas,2012,4.432517999999997
caldas,2013,4.764606000000001
caldas,2014,4.432204
caldas,2015,3.543996000000001
caldas,2016,4.425365000000001
caldas,2017,4.8697729999999995
caldas,2018,3.532925
caldas,2019,1.5398390000000002
caqueta,2013,0.002496
caqueta,2015,0.004373
caqueta,2016,1.300465
caqueta,2017,3.8e-05
cauca,2012,3.2643510000000004
cauca,2013,4.8593079999999995
cauca,2014,4.479328999999999
cauca,2015,5.4786839999999986
cauca,2016,4.139753
cauca,2017,2.583506999999999
cauca,2018,1.3435260000000004
cauca,2019,0.756045
cesar,2013,0.055
cesar,2014,0.251
cesar,2015,0.266
cesar,2016,0.03
choco,2012,30.658394000000005
choco,2013,18.595066
choco,2014,13.567651999999994
choco,2015,16.19478199999999
choco,2016,16.923278000000007
choco,2017,11.65237199999999
choco,2018,5.4051079999999985
choco,2019,2.520453999999999
cordoba,2012,52388.57374468059
cordoba,2013,49334.38497029945
cordoba,2014,41233.39053566787
cordoba,2015,36681.321230629765
cordoba,2016,37102.40887392922
cordoba,2017,40617.711414161524
cordoba,2018,43067.98112613793
cordoba,2019,19941.486037704173
cundinamarca,2015,0.2737558
cundinamarca,2016,0.0001356
cundinamarca,2017,0.0029614
cundinamarca,2018,0.0015446000000000001
cundinamarca,2019,0.0001728
guainia,2012,110.74869799999999
guainia,2013,0.168012
guainia,2014,97.572373
guainia,2015,0.7896549999999998
guainia,2016,0.49200499999999997
guainia,2018,0.047377999999999997
guainia,2019,0.040283
guajira,2013,0.3
guajira,2014,0.339
guajira,2015,0.401
guajira,2016,0.318
guajira,2017,0.225
guajira,2018,0.017256
guaviare,2012,11.684000000000001
guaviare,2013,16.68
guaviare,2014,13.639
guaviare,2015,5.847207
huila,2012,0.9123330000000002
huila,2013,0.43785100000000005
huila,2014,0.11530099999999997
huila,2015,0.065764
huila,2016,0.09555
huila,2017,0.240105
huila,2018,0.3484759999999999
huila,2019,0.17058099999999995
magdalena,2012,0.000291
magdalena,2013,0.0008
narino,2012,2.8496979999999987
narino,2013,3.591652
narino,2014,5.252565999999998
narino,2015,7.5750449999999985
narino,2016,9.323120999999997
narino,2017,2.763914000000001
narino,2018,1.0661100000000001
narino,2019,0.602435
putumayo,2012,0.043897
putumayo,2013,0.009718999999999998
putumayo,2014,0.020866
putumayo,2015,0.037186000000000004
putumayo,2016,0.07561999999999998
putumayo,2017,0.044936000000000004
quindio,2012,0.04689299999999999
quindio,2013,0.20296199999999995
quindio,2014,0.031148
quindio,2015,0.08341500000000002
quindio,2016,0.00023799999999999998
risaralda,2012,0.17568399999999995
risaralda,2013,0.21055100000000004
risaralda,2014,0.2608770000000001
risaralda,2015,0.24451799999999996
risaralda,2016,0.331588
risaralda,2017,0.224758
risaralda,2018,0.21662399999999998
risaralda,2019,0.06963400000000002
santander,2012,0.08765600000000003
santander,2013,0.259434
santander,2014,0.564204
santander,2015,0.217844
santander,2016,0.09168499999999999
santander,2017,0.08601099999999999
santander,2018,0.065265
santander,2019,0.017902
tolima,2012,0.36389399999999994
tolima,2013,0.3570940000000001
tolima,2014,0.3217010000000002
tolima,2015,1.5020819999999997
tolima,2016,0.9353030000000006
tolima,2017,1.150726
tolima,2018,1.6906509999999997
tolima,2019,0.771536
valle del cauca,2012,0.7819480000000002
valle del cauca,2013,0.691548
valle del cauca,2014,0.7201940000000001
valle del cauca,2015,0.690069
valle del cauca,2016,0.4196739999999999
valle del cauca,2017,0.02912200000000001
valle del cauca,2018,0.110146
valle del cauca,2019,0.122325
vaupes,2012,0.200109
vichada,2012,82.088
vichada,2013,19.621
vichada,2014,6.195
vichada,2015,2.7
vichada,2016,4.509
vichada,2018,0.57252
