DEPARTAMENTO,2013,2014,2015,2016,2017
antioquia,31403,5,299221.0,245574.0,221145.0
arauca,43069,19,646959.0,576330.0,537899.0
bolivar,84533,56,144617.0,144376.0,122863.0
boyaca,147869,116,564769.0,500940.0,436151.0
casanare,23466511,21612,2155410.0,1971001.0,1983015.0
cauca,235,0,13348.0,12042.0,10476.0
cesar,68728,26,126768.0,115349.0,169834.0
cordoba,203281,202,23.0,24.0,16.0
cundinamarca,34363,30,4607.0,3589.0,3286.0
departamento nn,388863,376,7715.0,103.0,122.0
guajira,7215124,6138,,,
huila,299950,202,360285.0,322841.0,302437.0
magdalena,1442,2,1848.0,2488.0,2923.0
meta,263746,179,6152260.0,5372414.0,5086284.0
narino,22789,13,3586.0,3992.0,3184.0
norte de santander,43631,34,46453.0,42011.0,37555.0
putumayo,228720,172,520294.0,442359.0,432407.0
santander,838847,693,777981.0,691209.0,707437.0
sucre,739642,692,256.0,236.0,469.0
tolima,202514,123,243488.0,187141.0,191233.0
