Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
amazonas,65825,66827,67726,68613,69474,70313,71167,72017,72858,73699,74541,75388,76243,77088,77948,78830
antioquia,5526457,5604712,5682310,5757973,5834865,5911399,5988552,6066003,6143809,6221817,6299990,6378132,6456299,6534857,6613118,6691030
arauca,227738,230019,232129,235252,238361,241446,244507,247541,250569,253565,256527,259447,262315,265190,267992,270708
san andres,69300,69920,70554,71075,71613,72167,72735,73320,73925,74541,75167,75801,76442,77101,77759,78413
atlantico,2106173,2136070,2166020,2195776,2225481,2255143,2284841,2314460,2344077,2373550,2402910,2432003,2460863,2489514,2517897,2545924
bogota d.c.,6627568,6734041,6840116,6945216,7050228,7155052,7259597,7363782,7467804,7571345,7674366,7776845,7878783,7980001,8080734,8181047
bolivar,1844798,1861840,1879480,1898031,1917345,1937500,1958431,1980012,2002531,2025573,2049109,2073004,2097161,2121956,2146696,2171280
boyaca,1248391,1252027,1255314,1258195,1260821,1263252,1265513,1267652,1269405,1271133,1272855,1274615,1276407,1278107,1279955,1282063
caldas,964745,966596,968586,970651,972591,974493,976423,978342,980267,982207,984115,986042,987991,989934,991860,993866
caqueta,410991,415586,420518,425748,431020,436485,442071,447767,453588,459515,465487,471541,477642,483846,490056,496241
casanare,282913,289117,295276,301371,307441,313431,319515,325621,331734,337886,344040,350239,356479,362721,368989,375249
cauca,1248825,1258885,1268830,1278185,1287746,1297703,1308183,1319120,1330756,1342650,1354733,1366984,1379169,1391836,1404205,1415933
cesar,879257,891245,903423,915900,928571,941258,953866,966450,979054,991584,1004058,1016533,1028890,1041204,1053475,1065673
choco,445794,449877,454053,458317,462683,467074,471598,476149,480820,485543,490317,495151,500093,505016,510047,515145
cordoba,1425297,1446552,1467906,1489745,1512031,1535414,1558833,1582784,1607519,1632637,1658067,1683782,1709644,1736170,1762530,1788507
cundinamarca,2200405,2240428,2280158,2318959,2358115,2397511,2437151,2477036,2517215,2557623,2598245,2639059,2680041,2721368,2762784,2804238
guainia,33968,34614,35230,35846,36464,37084,37705,38328,38949,39574,40203,40839,41482,42123,42777,43446
guaviare,92889,94181,95551,97135,98688,100208,101759,103307,104846,106386,107934,109490,111060,112621,114207,115829
huila,982377,996874,1011405,1025738,1040086,1054423,1068844,1083189,1097584,1111947,1126316,1140539,1154777,1168869,1182944,1197081
guajira,626358,653834,681534,708768,736050,763496,791083,818740,846641,874532,902367,930143,957797,985452,1012926,1040157
magdalena,1131036,1140396,1150064,1159895,1169866,1180134,1190666,1201501,1212559,1223875,1235532,1247514,1259822,1272442,1285384,1298691
meta,749153,766214,783285,800581,817969,835526,853166,870921,888802,906805,924871,943072,961334,979710,998162,1016701
narino,1502757,1522205,1541692,1560872,1580109,1599646,1619461,1639560,1660062,1680795,1701782,1722945,1744228,1765906,1787545,1809116
norte de santander,1222289,1233069,1243861,1254386,1265056,1275834,1286830,1297951,1309265,1320777,1332378,1344038,1355787,1367708,1379533,1391239
putumayo,304095,307144,310132,313126,316209,319390,322681,326093,329598,333247,337054,341034,345204,349537,354094,358896
quindio,528413,531424,534506,537530,540533,543579,546593,549662,552755,555836,558969,562114,565310,568506,571733,575010
risaralda,885964,891636,897413,903052,908644,914171,919641,925117,930518,935910,941275,946632,951953,957254,962529,967767
santander,1937920,1947837,1957775,1968351,1978976,1989514,1999999,2010393,2020604,2030775,2040932,2051022,2061079,2071016,2080938,2090839
sucre,757033,764503,772042,779515,787153,794914,802736,810664,818689,826780,834937,843202,851515,859913,868438,877057
tolima,1354239,1359765,1365082,1369841,1374437,1378903,1383304,1387621,1391876,1396038,1400140,1404262,1408272,1412220,1416124,1419947
valle del cauca,4074590,4117760,4161470,4205228,4249220,4293541,4338216,4383277,4428675,4474369,4520480,4566875,4613684,4660741,4708262,4756113
vaupes,38230,38787,39279,39741,40198,40649,41094,41534,41965,42392,42817,43240,43665,44079,44500,44928
vichada,53171,54504,55872,57344,58885,60494,62071,63670,65282,66917,68575,70260,71974,73702,75468,77276
